boat go 23
know children 23
month went 23
place went 23
got letter 23
stay month 23
becam american 23
staten island 23
work farm 23
speak german 23
sixth grade 23
man know 23
sunday school 23
came along 23
war start 23
famili went 23
went away 23
air forc 23
want someth 23
ye cours 23
hous went 23
day think 23
save money 23
time year 23
know gave 23
lot differ 23
met wife 23
gave money 22
hot water 22
know sister 22
sister marri 22
came sister 22
go send 22
time go 22
gave job 22
came ye 22
uncl uncl 22
year mother 22
know help 22
sister mother 22
school right 22
know school 22
school want 22
stay day 22
ye work 22
know friend 22
unclear ye 22
know somebodi 22
look forward 22
thing came 22
real good 22
school rememb 22
brother live 22
know brother 22
girl boy 22
saturday night 22
kept go 22
six day 22
twenti dollar 22
like much 22
ye much 22
island went 22
peopl rememb 22
know word 22
told want 22
job know 22
love america 22
food know 22
use lot 22
aboard ship 22
ferri boat 22
year half 22
took year 22
train come 22
beauti beauti 22
black peopl 22
know america 22
got acquaint 22
medic school 22
peopl think 22
think time 22
cunard line 22
nd street 22
jersey citi 22
sort thing 22
becom american 22
year use 21
mayb mayb 21
lot troubl 21
brother took 21
year move 21
realli got 21
went came 21
day time 21
work came 21
know name 21
oldest son 21
water water 21
everybodi know 21
went year 21
third grade 21
heard speak 21
railroad station 21
felt bad 21
felt sorri 21
got big 21
show pictur 21
came think 21
realli someth 21
work night 21
work peopl 21
rememb get 21
sew machin 21
work ye 21
food good 21
come visit 21
know whatev 21
doctor came 21
come work 21
right got 21
year marri 21
time ago 21
came mother 21
els know 21
look eye 21
think use 21
got hold 21
got apart 21
alway rememb 21
think thing 21
money come 21
girl know 21
know better 21
shall come 21
come took 21
got place 21
talk talk 21
brother mother 21
think must 21
home went 21
husband die 21
learn learn 21
use run 21
stay till 21
york york 21
next year 20
came rememb 20
somebodi come 20
god know 20
father told 20
saw peopl 20
know quit 20
got much 20
coney island 20
got school 20
somewher els 20
time realli 20
school came 20
got hous 20
think mayb 20
today know 20
know hous 20
know nobodi 20
know give 20
room ye 20
happen know 20
sister know 20
took school 20
find place 20
eat know 20
know learn 20
laugh came 20
marri time 20
pay rent 20
told father 20
want live 20
call know 20
good cook 20
import thing 20
think stay 20
later got 20
live brooklyn 20
island got 20
coupl time 20
time day 20
famili live 20
children got 20
good food 20
come father 20
father knew 20
went took 20
ye uhhuh 20
languag know 20
come right 20
laugh use 20
grammar school 20
right near 20
use speak 20
arriv york 20
friend use 20
die die 20
read book 20
left know 20
help lot 20
know place 20
got right 20
cook cook 20
took day 20
differ nation 20
peopl differ 20
peopl nice 20
hour day 20
older peopl 20
know girl 20
number year 20
wait till 20
forti year 20
son daughter 20
mayb know 20
oldest daughter 20
third avenu 20
coffe hous 20
laugh mother 19
came want 19
year start 19
right went 19
everyth right 19
time live 19
day school 19
hang around 19
man use 19
feel good 19
run water 19
job job 19
week later 19
help know 19
soon got 19
name ship 19
want eat 19
alway work 19
